N_Processo;Orgao;Situacao_Orgao;Modalidade;Objeto;Itens_Licitado;Valor_Total_Previsto;Valor_Total_Realizado;Quant_Licitada;N_Edital;Data_Publicação;Data_Abertura;CPF_CNPJ;Razao_Social
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Contratação de empresa especializada em serviço de tecnologia da informação;7814400,0000000000000000;5808000,0000000000000000;132000,00000000;0001/2019;20190415;20190517;07695627000153;INFORTECH INFORMÁTICA EIRELI - EPP
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Contratação de empresa especializada em serviço de tecnologia da informação;7814400,0000000000000000;5808000,0000000000000000;132000,00000000;0001/2019;20190415;20190517;07695627000153;INFORTECH INFORMÁTICA EIRELI - EPP
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Contratação de empresa especializada em serviço de tecnologia da informação;5683200,0000000000000000;5099520,0000000000000000;96000,00000000;0001/2019;20190415;20190517;00073357000108;PSG TECNOLOGIA APLICADA LTDA
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Contratação de empresa especializada em serviço de tecnologia da informação;5683200,0000000000000000;5099520,0000000000000000;96000,00000000;0001/2019;20190415;20190517;00073357000108;PSG TECNOLOGIA APLICADA LTDA
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Locação de equipamentos de informática, tecnologia da informação ou processamento de dados e softwares;3819999,9600000000000000;2899800,0000000000000000;12,00000000;0001/2019;20190415;20190517;13191202000100;CLICK SERVIÇOS E LOCAÇÕES LTDA EPP
11/005.619/2019;SEFAZ;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE INFORMÁTICA.;Locação de equipamentos de informática, tecnologia da informação ou processamento de dados e softwares;3819999,9600000000000000;2899800,0000000000000000;12,00000000;0001/2019;20190415;20190517;13191202000100;CLICK SERVIÇOS E LOCAÇÕES LTDA EPP
27/003.014/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CURSO DE CAPACITAÇÃO EM DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE;Contratação de serviço de seleção e/ou treinamento;50497,5000000000000000;50497,5000000000000000;1,00000000;0003/2019;20190422;20190503;12768616000196;LIFE'S DONOR CURSOS PARA CAPACITAÇÃO PROFISSIONAL LTDA
27/003.014/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CURSO DE CAPACITAÇÃO EM DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE;Contratação de serviço de seleção e/ou treinamento;27840,0000000000000000;24500,0000000000000000;1,00000000;0003/2019;20190422;20190503;12768616000196;LIFE'S DONOR CURSOS PARA CAPACITAÇÃO PROFISSIONAL LTDA
27/003.014/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CURSO DE CAPACITAÇÃO EM DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE;Contratação de serviço de seleção e/ou treinamento;50497,5000000000000000;50497,5000000000000000;1,00000000;0003/2019;20190422;20190503;12768616000196;LIFE'S DONOR CURSOS PARA CAPACITAÇÃO PROFISSIONAL LTDA
27/003.014/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CURSO DE CAPACITAÇÃO EM DOAÇÃO DE ÓRGÃOS E TECIDOS PARA TRANSPLANTE;Contratação de serviço de seleção e/ou treinamento;27840,0000000000000000;24500,0000000000000000;1,00000000;0003/2019;20190422;20190503;12768616000196;LIFE'S DONOR CURSOS PARA CAPACITAÇÃO PROFISSIONAL LTDA
27/004.225/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE INSUMOS PARA SISTEMA DE INFUSÃO DE INSULINA;"Insumo para sistema de infusão de insulina - Tipo: set de infusão; Marca/Modelo: Accu-Chek Flex Link; Informação Adicional: medida 10mm/60cm, compatível com sistema Accu-Check COMBO; Embalagem: caixa com 10 sets/conjuntos completos.";6705,7200000000000000;6583,5000000000000000;9,00000000;0004/2019;20190409;20190422;11352270000188;RCA SAUDE COMÉRCIO E REPRESENTAÇÕES EIRELLI ME
27/004.225/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE INSUMOS PARA SISTEMA DE INFUSÃO DE INSULINA;"Insumo para sistema de infusão de insulina - Tipo: cânula; Marca/Modelo: Accu-Chek Flex Link; Informação Adicional: medida 10 mm, compatível com sistema Accu-Check COMBO; Embalagem: caixa com 10 cânulas/agulhas.";26908,2000000000000000;26908,2000000000000000;54,00000000;0004/2019;20190409;20190422;11352270000188;RCA SAUDE COMÉRCIO E REPRESENTAÇÕES EIRELLI ME
27/004.225/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE INSUMOS PARA SISTEMA DE INFUSÃO DE INSULINA;"Insumo para sistema de infusão de insulina - Tipo: cartucho plástico; Informação Adicional: capacidade 3,15 ml, compatível com sistema Accu-Check COMBO; Embalagem: caixa com 25 cartuchos.";15262,2400000000000000;14168,0000000000000000;28,00000000;0004/2019;20190409;20190422;11352270000188;RCA SAUDE COMÉRCIO E REPRESENTAÇÕES EIRELLI ME
27/004.225/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE INSUMOS PARA SISTEMA DE INFUSÃO DE INSULINA;"Insumo para sistema de infusão de insulina - Tipo: conjunto para alimentação de energia; Informação Adicional: compatível com sistema Accu-Check COMBO; Embalagem: 4 pilhas tipo AA, 1 adaptador, 1 tampa de bateria, 1 chave de bateria.";6012,7600000000000000;5291,0000000000000000;26,00000000;0004/2019;20190409;20190422;11352270000188;RCA SAUDE COMÉRCIO E REPRESENTAÇÕES EIRELLI ME
